age	bmi	sex	race	title	updrs	height	weight	cage_id	cohoused	genotype	hy_stage	latitude	pd_class	age_units	elevation	env_biome	longitude	cage_mates	host_taxid	life_stage	description	env_feature	env_package	medications	sample_type	alt_pd_class	donor_status	env_material	geo_loc_name	mice_in_cage	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	disease_status	fecal_donor_id	host_body_site	pd_class_score	sem_group_beam	anonymized_name	hind_limb_score	host_subject_id	mean_group_beam	scientific_name	disease_duration	host_body_habitat	host_body_product	day_post_transplant	sem_group_pole_time	collection_timestamp	fecal_pellets_15_min	host_scientific_name	mean_group_pole_time	constipation_duration	constipation_severity	constipation_re_diagnosis	sem_adhesive_removal_time	mean_adhesive_removal_time	physical_specimen_location	physical_specimen_remaining	qiita_study_id
10483.recip.465.ASO.PD3.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c44	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	536	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	4	not provided	B53	not provided	539	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	01/25/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.538.WT.PD4.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c18	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	318	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	2	not provided	B6	not provided	317	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	10/01/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.donor2.HC	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c16	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	314	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	not provided	A12	not provided	315	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	09/24/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.316WT.HC1.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c22	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	386	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	3	not provided	A24	not provided	387	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.645.WT.PD6.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c69	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	618, 620	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	3	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	2	not provided	F7	not provided	621	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.545.WT.HC4.D21	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0364	c14	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	0.4336	C53	0	312	3.053	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.425	11/12/2015 10:00	7	mus musculus	5.007	not provided	not provided	not provided	0.3446	1.554	UCSDMI	TRUE	10483
10483.recip.457.WT.HC3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c41	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	464	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	3	not provided	C33	not provided	467	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/30/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.560.ASO.HC4.D14	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c17	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	319	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	not provided	B71	not provided	316	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	10/08/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.617.ASO.HC5.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0335	c73	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	632	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	4	0.5244	F48	2	630	4.903	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.626	04/04/2016 10:00	0	mus musculus	17.47	not provided	not provided	not provided	0.8581	5.319	UCSDMI	TRUE	10483
10483.recip.319.WT.HC1.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c15	false	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	2	not provided	B2	not provided	313	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	10/01/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.650.ASO.PD6.D14	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0281	c77	false	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	0.4787	G22	0	638	5.311	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	4.11	04/04/2016 10:00	8	mus musculus	18.92	not provided	not provided	not provided	0.7391	4.104	UCSDMI	TRUE	10483
10483.BLANK7.10D	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.10D	not applicable	BLANK7.10D	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.646.WT.PD6.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c86	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	653	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	2	not provided	G19	not provided	654	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.461.ASO.HC3.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c42	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	468	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	1	not provided	A57	not provided	469	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/16/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.8G	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.8G	not applicable	BLANK7.8G	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK4.5D	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK4.5D	not applicable	BLANK4.5D	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.457.WT.HC3.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c40	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	466	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	A53	not provided	465	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/16/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.387.WT.PD2.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c29	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	1	not provided	C14	not provided	413	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/19/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.561.ASO.HC4.D14	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c18	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	318	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	2	not provided	B72	not provided	317	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	10/08/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.320.WT.PD1.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c24	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	390	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	4	not provided	B20	not provided	391	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/12/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.623.WT.PD5.D7	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c66	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	614	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	3	not provided	F20	not provided	616	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
